Date,AAPL,JPM,KO,XOM,JNJ,MSFT
2013-01-02,78.43,44.66,37.6,88.71,70.84,27.62
2013-01-03,77.44,44.57,37.6,88.55,70.74,27.25
2013-01-04,75.29,45.36,37.66,88.96,71.55,26.74
2013-01-07,74.8,45.41,37.3,87.93,71.4,26.69
2013-01-08,75.04,45.5,37.04,88.48,71.41,26.55
2013-01-09,73.87,45.47,37.03,88.14,71.73,26.7
2013-01-10,74.79,46.15,36.96,89.1,72.19,26.46
2013-01-11,74.33,46.14,36.91,89.61,72.35,26.83
2013-01-14,71.68,45.88,36.99,89.58,72.56,26.89
2013-01-15,69.42,46.35,37.32,89.53,72.37,27.21
2013-01-16,72.3,46.82,37.32,89.47,72.58,27.04
2013-01-17,71.81,46.44,37.51,90.2,72.9,27.25
2013-01-18,71.43,46.46,37.7,90.8,73.23,27.25
2013-01-22,72.11,46.54,37.13,90.92,72.69,27.15
2013-01-23,73.43,46.23,37.13,90.7,72.85,27.61
2013-01-24,64.36,46.37,37.11,91.35,73.1,27.63
2013-01-25,62.84,47.16,37.05,91.73,73.92,27.88
2013-01-28,64.26,46.64,37.01,91.11,73.62,27.91
2013-01-29,65.47,47.12,37.42,91.76,74.41,28.01
2013-01-30,65.26,47.13,37.5,90.67,74.09,27.85
2013-01-31,65.07,47.05,37.24,89.97,73.92,27.45
2013-02-01,64.8,47.85,37.54,90.04,74.18,27.93
2013-02-04,63.19,47.68,37.35,89.15,74.11,27.44
2013-02-05,65.41,48.79,38.14,89.74,74.66,27.5
2013-02-06,65.34,48.61,38.31,89.79,75.39,27.34
2013-02-07,66.89,48.23,38.91,88.25,75.06,27.28
2013-02-08,67.85,48.63,38.77,88.61,75.48,27.55
2013-02-11,68.56,48.66,38.61,88.28,75.41,27.86
2013-02-12,66.84,49.14,37.56,88.46,75.8,27.88
2013-02-13,66.72,48.68,37.21,88.67,75.66,28.03
2013-02-14,66.66,49.22,36.84,88.52,75.81,28.04
2013-02-15,65.74,48.88,37.42,88.36,76.16,28.01
2013-02-19,65.71,49.45,37.67,89.32,76.96,28.04
2013-02-20,64.12,48.61,37.73,88.97,76.65,27.87
2013-02-21,63.72,48.25,37.71,88.59,76.87,27.49
2013-02-22,64.4,48.91,38.52,89.2,76.25,27.76
2013-02-25,63.26,47.7,37.72,87.7,75.57,27.37
2013-02-26,64.14,47.6,38.11,88.51,75.75,27.37
2013-02-27,63.51,49.28,38.45,89.53,76.32,27.81
2013-02-28,63.06,48.92,38.72,89.55,76.11,27.8
2013-03-01,61.5,48.91,38.7,89.43,76.7,27.95
2013-03-04,60.01,49.1,38.82,88.95,77.2,28.15
2013-03-05,61.59,49.49,38.68,89.61,77.66,28.35
2013-03-06,60.81,50.03,39.02,89.56,77.39,28.09
2013-03-07,61.51,50.63,39.12,88.71,77.75,28.14
2013-03-08,61.67,50.2,39.22,88.97,78.19,28.0
2013-03-11,62.55,50.48,39.31,89.16,78.44,27.87
2013-03-12,61.2,50.28,38.96,89.16,78.56,27.91
2013-03-13,61.19,50.16,38.59,89.26,78.55,27.92
2013-03-14,61.79,51.0,39.02,89.83,79.1,28.14
2013-03-15,63.38,50.02,38.83,89.37,79.19,28.04
2013-03-18,65.1,49.51,38.76,88.77,78.81,28.1
2013-03-19,64.93,49.2,39.33,88.58,78.86,28.18
2013-03-20,64.58,49.12,39.87,88.63,79.45,28.32
2013-03-21,64.68,48.35,40.07,88.17,79.01,28.11
2013-03-22,65.99,48.78,40.04,89.29,79.74,28.25
2013-03-25,66.23,48.52,40.12,89.02,79.68,28.16
2013-03-26,65.88,48.64,40.69,90.13,80.85,28.16
2013-03-27,64.58,47.77,40.22,90.58,81.27,28.37
2013-03-28,63.24,47.46,40.44,90.11,81.53,28.6
2013-04-01,61.27,47.83,40.45,90.77,81.93,28.61
2013-04-02,61.4,48.28,40.72,90.58,82.69,28.8
2013-04-03,61.71,46.85,40.17,89.93,82.07,28.56
2013-04-04,61.1,47.49,40.54,89.77,82.41,28.6
2013-04-05,60.46,47.91,40.08,89.01,82.04,28.7
2013-04-08,60.89,48.58,40.86,88.6,81.11,28.59
2013-04-09,61.0,48.68,40.71,88.77,81.52,29.61
2013-04-10,62.24,49.25,41.07,88.68,82.02,30.28
2013-04-11,62.05,49.31,41.18,89.22,82.32,28.94
2013-04-12,61.4,49.01,41.08,88.99,82.74,28.79
2013-04-15,59.98,47.93,40.09,86.49,81.71,28.69
2013-04-16,60.89,48.49,42.37,86.61,83.44,28.97
2013-04-17,57.54,46.79,42.55,86.08,83.9,28.82
2013-04-18,56.01,46.64,42.1,86.62,83.18,28.79
2013-04-19,55.79,47.23,42.66,87.45,84.49,29.76
2013-04-22,56.95,47.35,42.72,88.09,84.83,30.83
2013-04-23,58.02,48.17,42.7,89.3,85.45,30.6
2013-04-24,57.92,48.72,42.15,89.43,84.39,31.76
2013-04-25,58.34,49.0,42.35,88.07,85.22,31.94
2013-04-26,59.6,48.88,42.1,88.0,85.12,31.79
2013-04-29,61.45,48.92,42.24,88.21,85.58,32.61
2013-04-30,63.25,49.01,42.33,88.99,85.23,33.1
2013-05-01,62.76,48.01,42.21,87.51,84.23,32.72
2013-05-02,63.65,48.08,41.96,88.63,85.16,33.16
2013-05-03,64.28,47.57,42.24,90.02,85.75,33.49
2013-05-06,65.82,48.18,42.08,90.58,84.68,33.75
2013-05-07,65.52,49.14,42.7,91.15,85.53,33.31
2013-05-08,66.26,49.76,42.46,91.7,85.46,32.99
2013-05-09,65.25,49.04,42.12,91.03,85.15,32.66
2013-05-10,64.71,48.96,42.15,90.14,85.76,32.69
2013-05-13,64.96,49.67,42.19,90.1,85.85,33.03
2013-05-14,63.41,50.23,42.52,91.11,86.97,33.53
2013-05-15,61.26,51.09,42.92,91.24,87.64,33.84
